"title","vote_average","release_date","revenue","budget","original_language","overview","genres"
"Christmas in Connecticut",6.989,"1945-07-27",3000000,864000,"en","While recovering in a hospital, war hero Jefferson Jones grows familiar with the """"Diary of a Housewife"""" column written by Elizabeth Lane. Jeff's nurse arranges with Elizabeth's publisher, Alexander Yardley, for Jeff to spend the holiday at Elizabeth's bucolic Connecticut farm with her husband and child. But the column is a sham, so Elizabeth and her editor, Dudley Beecham, in fear of losing their jobs, hasten to set up the single, childless and entirely  nondomestic Elizabeth on a country farm.","Comedy, Romance"
"Spellbound",7.4,"1945-11-08",7000000,1500000,"en","When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.","Thriller, Mystery, Romance, Drama"
"Danger Signal",5.458,"1945-11-21",1110000,471000,"en","After robbing and murdering his married lover and then making her death look like suicide, conniving philanderer Ronnie Mason relocates to Los Angeles. Under a new identity and claiming to be a writer, Ronnie finds lodging at the home of Hilda Fenchurch and her mother. He woos Hilda, knowing she has money, but when he discovers that Hilda's sister, Anne, has just inherited $25,000, he switches his attentions to her.","Crime, Drama, Romance"
"Yolanda and the Thief",5.7,"1945-11-22",1791000,2443322,"en","Johnny Riggs, a con man on the lam, finds himself in a Latin-American country named Patria. There, he overhears a convent-bred rich girl praying to her guardian angel for help in managing her tangled business affairs. Riggs decides to materialize as the girl's """"angel"""", gains her unquestioning confidence, and helps himself to the deluded girl's millions. Just as he and his partner are about to flee Patria with their booty, Riggs realizes he has fallen in love with the girl and returns the money, together with a note that is part confession and part love letter. But the larcenous duo's escape from Patria turns out to be more difficult than they could ever have imagined.","Music, Romance, Fantasy"
"The Lost Weekend",7.6,"1945-11-29",11000000,1250000,"en","Don Birnam, a long-time alcoholic, has been sober for ten days and appears to be over the worst... but his craving has just become more insidious. Evading a country weekend planned by his brother and girlfriend, he begins a four-day bender that just might be his last - one way or another.","Drama"
"Scarlet Street",7.6,"1945-12-25",2948500,1202000,"en","Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.","Drama, Crime"
"The Spiral Staircase",7.036,"1946-02-06",2800000,750000,"en","On a stormy night, the mute servant to an ailing matriarch is stalked by a serial killer.","Mystery, Thriller, Horror"
"Gilda",7.539,"1946-04-25",6000000,2000000,"en","A gambler discovers an old flame while in Argentina, but she's married to his new boss.","Romance, Drama, Thriller"
"The Postman Always Rings Twice",7.041,"1946-05-02",5086000,1683000,"en","A married woman and a drifter fall in love, then plot to murder her husband.","Drama, Romance, Crime, Thriller"
"The Stranger",7.251,"1946-07-02",322000000,103400000,"en","An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi, who may be hiding out in a small town in the guise of a distinguished professor engaged to the Supreme Court Justice’s daughter.","Thriller, Crime"
"Notorious",7.76,"1946-08-21",24500000,2000000,"en","In order to help bring Nazis to justice, U.S. government agent T.R. Devlin recruits Alicia Huberman, the American daughter of a convicted German war criminal, as a spy. As they begin to fall for one another, Alicia is instructed to win the affections of Alexander Sebastian, a Nazi hiding out in Brazil. When Sebastian becomes serious about his relationship with Alicia, the stakes get higher, and Devlin must watch her slip further undercover.","Thriller, Romance, Mystery"
"The Big Sleep",7.589,"1946-08-23",4900000,1600000,"en","Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love.","Mystery, Crime, Romance, Thriller, Drama"
"My Darling Clementine",7.461,"1946-10-17",2750000,2000000,"en","Wyatt Earp and his brothers Morgan and Virgil ride into Tombstone and leave brother James in charge of their cattle herd. On their return they find their cattle stolen and James dead. Wyatt takes on the job of town marshal, making his brothers deputies, and vows to stay in Tombstone until James' killers are found. He soon runs into the brooding, coughing, hard-drinking Doc Holliday as well as the sullen and vicious Clanton clan. Wyatt discovers the owner of a trinket stolen from James' dead body and the stage is set for the Earps' long-awaited revenge.","Western, Romance, Drama"
"The Strange Woman",6.2,"1946-10-25",2800000,1500000,"en","In early 19th century New England, an attractive unscrupulous woman uses her beauty and wits to deceive and control the men around her.","Drama, Thriller, History"
"Deception",6.417,"1946-10-26",2300000,2882000,"en","After marrying her long lost love, a pianist finds the relationship threatened by a wealthy composer who is besotted with her.","Drama, Romance, Thriller, Music"
"Undercurrent",5.8,"1946-11-11",4327000,1644000,"en","After a rapid engagement, a dowdy daughter of a chemist weds an industrialist, knowing little of his family or past. He transforms her into an elegant society wife, but becomes enraged whenever she asks about Michael, his mysterious long-lost brother.","Drama, Thriller"
"Lady in the Lake",6.044,"1946-12-19",2657000,1026000,"en","Private eye Phillip Marlowe wants to get out of the detective racket and into crime writing. But when he's called to the office of editor Adrienne Fromsett, it's not to talk about his story ideas — she wants him to locate the missing wife of her boss, Mr. Kingsby. The assignment quickly becomes complicated when bodies start turning up.","Mystery, Thriller, Crime"
"It's a Wonderful Life",8.269,"1946-12-20",9644124,3180000,"en","A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.","Drama, Family, Fantasy"
"The Best Years of Our Lives",7.808,"1946-12-25",23650000,2100000,"en","It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.","Drama, Romance, War"
"Duel in the Sun",6.367,"1946-12-31",20400000,6000000,"en","Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.","Western, Romance, Drama"
"Buck Privates Come Home",6.3,"1947-04-04",2365000,1167500,"en","Two ex-soldiers return from overseas--one of them having smuggled into the country a French orphan girl he has become attached to. They wind up running into their old sergeant--who hates them--and getting involved with a race-car builder who's trying to find backers for a new midget racer he's building.","Comedy, Romance, Action"
"The Sea of Grass",6.3,"1947-04-25",4689000,2349000,"en","A St. Louis woman marries a New Mexico cattleman who is seen as a tyrant by the locals.","Drama, Western, Romance"
"Miracle on 34th Street",7.355,"1947-06-04",2700000,630000,"en","Kris Kringle, seemingly the embodiment of Santa Claus, is asked to portray the jolly old fellow at Macy's following his performance in the Thanksgiving Day parade. His portrayal is so complete that many begin to question if he truly is Santa Claus, while others question his sanity.","Comedy, Drama, Family"
"Cheyenne",6.9,"1947-06-06",3303000,1929000,"en","Slick gambler James Wylie (Dennis Morgan) is apprehended by the law and given the option to forgo a prison sentence if he poses as a bandit. His mission is to uncover the identity of the Poet, a notorious outlaw who has been holding up bank-owned stagecoaches and leaving verses at the crime scenes to taunt the authorities. James finds time to woo the Poet's lovely wife, Ann (Jane Wyman), who initially cold-shoulders him. But, as a romance develops, they partner up to find the robber.","Western"
"Living in a Big Way",5,"1947-06-10",1513000,2839000,"en","A World War II pilot (Gene Kelly) comes home to a bride (Marie McDonald) who, spoiled by her father (Charles Winninger), now wants a divorce.","Comedy, Music"
